weight,height,age,sex,activity_level,bmr,tdee,bmi,bmi_category
100,58,90,F,4,763,885,20.897740784780023,Healthy
100,58,90,F,5,763,916,20.897740784780023,Healthy
100,60,90,F,4,795,922,19.527777777777775,Healthy
110,58,90,F,4,809,938,22.987514863258028,Healthy
100,58,80,F,4,813,943,20.897740784780023,Healthy
100,60,90,F,5,795,954,19.527777777777775,Healthy
100,62,90,F,4,827,959,18.28824141519251,Underweight
110,58,90,F,5,809,970,22.987514863258028,Healthy
110,60,90,F,4,840,975,21.480555555555554,Healthy
100,58,80,F,5,813,976,20.897740784780023,Healthy
100,60,80,F,4,845,980,19.527777777777775,Healthy
120,58,90,F,4,854,991,25.07728894173603,Overweight
100,62,90,F,5,827,992,18.28824141519251,Underweight
110,58,80,F,4,859,996,22.987514863258028,Healthy
100,64,90,F,4,859,996,17.1630859375,Underweight
100,58,70,F,4,863,1001,20.897740784780023,Healthy
110,60,90,F,5,840,1009,21.480555555555554,Healthy
110,62,90,F,4,872,1012,20.117065556711758,Healthy
100,60,80,F,5,845,1014,19.527777777777775,Healthy
100,62,80,F,4,877,1017,18.28824141519251,Underweight
120,58,90,F,5,854,1025,25.07728894173603,Overweight
120,60,90,F,4,886,1028,23.433333333333334,Healthy
110,58,80,F,5,859,1030,22.987514863258028,Healthy
100,64,90,F,5,859,1030,17.1630859375,Underweight
100,66,90,F,4,890,1033,16.1386593204775,Underweight
110,60,80,F,4,890,1033,21.480555555555554,Healthy
100,58,70,F,5,863,1036,20.897740784780023,Healthy
100,60,70,F,4,895,1038,19.527777777777775,Healthy
130,58,90,F,4,899,1043,27.167063020214034,Overweight
110,62,90,F,5,872,1047,20.117065556711758,Healthy
120,58,80,F,4,904,1049,25.07728894173603,Overweight
110,64,90,F,4,904,1049,18.87939453125,Healthy
100,58,90,F,6,763,1050,20.897740784780023,Healthy
100,62,80,F,5,877,1052,18.28824141519251,Underweight
100,64,80,F,4,909,1054,17.1630859375,Underweight
110,58,70,F,4,909,1054,22.987514863258028,Healthy
100,58,60,F,4,913,1059,20.897740784780023,Healthy
120,60,90,F,5,886,1063,23.433333333333334,Healthy
120,62,90,F,4,918,1064,21.94588969823101,Healthy
100,66,90,F,5,890,1068,16.1386593204775,Underweight
110,60,80,F,5,890,1069,21.480555555555554,Healthy
110,62,80,F,4,922,1070,20.117065556711758,Healthy
100,68,90,F,4,922,1070,15.203287197231832,Underweight
100,60,70,F,5,895,1074,19.527777777777775,Healthy
100,62,70,F,4,927,1075,18.28824141519251,Underweight
100,58,90,M,4,929,1078,20.897740784780023,Healthy
130,58,90,F,5,899,1079,27.167063020214034,Overweight
130,60,90,F,4,931,1080,25.38611111111111,Overweight
110,64,90,F,5,904,1085,18.87939453125,Healthy
110,66,90,F,4,936,1085,17.752525252525253,Underweight
120,58,80,F,5,904,1085,25.07728894173603,Overweight
120,60,80,F,4,936,1086,23.433333333333334,Healthy
100,58,90,F,7,763,1088,20.897740784780023,Healthy
110,58,70,F,5,909,1090,22.987514863258028,Healthy
100,64,80,F,5,909,1090,17.1630859375,Underweight
100,66,80,F,4,940,1091,16.1386593204775,Underweight
110,60,70,F,4,940,1091,21.480555555555554,Healthy
100,60,90,F,6,795,1093,19.527777777777775,Healthy
100,58,60,F,5,913,1096,20.897740784780023,Healthy
140,58,90,F,4,945,1096,29.256837098692035,Overweight
100,60,60,F,4,945,1096,19.527777777777775,Healthy
120,62,90,F,5,918,1101,21.94588969823101,Healthy
130,58,80,F,4,949,1101,27.167063020214034,Overweight
120,64,90,F,4,949,1101,20.595703125,Healthy
100,68,90,F,5,922,1107,15.203287197231832,Underweight
110,62,80,F,5,922,1107,20.117065556711758,Healthy
110,64,80,F,4,954,1107,18.87939453125,Healthy
